files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.08  T=0.74 s (219.3 files/s 17065.9 lines/s)"
112,Java,956,0,4944
30,Vuejs Component,408,0,4111
19,JavaScript,253,40,1737
1,TypeScript,14,70,74
162,SUM,1631,110,10866
